CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT
HX348311,7/17/2014,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,Y,N,1434
HX348303,7/17/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,712
HX349251,7/17/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,332
HX348971,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1713
HX348800,7/17/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,TAXICAB,N,N,111
HX349150,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,423
HX349380,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,511
HX348305,7/17/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENCE,Y,N,2234
HX348328,7/17/2014,BURGLARY,FORCIBLE ENTRY,OTHER,Y,N,1522
HX349080,7/17/2014,BURGLARY,FORCIBLE ENTRY,OTHER,Y,N,1522
HX348617,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,413
HX348317,7/17/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,821
HX348309,7/17/2014,BATTERY,SIMPLE,STREET,N,N,524
HX349010,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1014
HX348332,7/17/2014,BATTERY,SIMPLE,RESIDENCE,N,N,1623
HX349560,7/17/2014,BATTERY,SIMPLE,RESIDENCE-GARAGE,N,N,1232
HX348325,7/17/2014,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,STREET,Y,N,1423
HX348331,7/17/2014,ASSAULT,SIMPLE,CTA PLATFORM,Y,N,113
HX348315,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1221
HX348343,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1622
HX348634,7/17/2014,BURGLARY,FORCIBLE ENTRY,WAREHOUSE,N,N,131
HX348326,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,413
HX348365,7/17/2014,THEFT,OVER $500,STREET,N,Y,1422
HX348652,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2534
HX348381,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,821
HX358369,7/17/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,1432
HX348333,7/17/2014,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,PARK PROPERTY,Y,N,1123
HX348342,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,224
HX348334,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,225
HX348338,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1411
HX348346,7/17/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,SPORTS ARENA/STADIUM,N,Y,1532
HX349486,7/17/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1923
HX348344,7/17/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1652
HX349648,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,624
HX348359,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,N,Y,1834
HX348562,7/17/2014,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,SIDEWALK,Y,Y,1421
HX348345,7/17/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1925
HX348353,7/17/2014,BURGLARY,FORCIBLE ENTRY,OTHER,Y,N,2424
HX348349,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,831
HX348355,7/17/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,N,N,1135
HX348350,7/17/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1651
HX348768,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1712
HX348356,7/17/2014,ARSON,BY FIRE,STREET,N,N,1121
HX348377,7/17/2014,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,OTHER,N,N,623
HX348427,7/17/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1421
HX348575,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,723
HX352083,7/17/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,2424
HX348668,7/17/2014,THEFT,OVER $500,HOTEL/MOTEL,N,N,1834
HX348376,7/17/2014,THEFT,OVER $500,STREET,N,N,1723
HX348366,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,411
HX348368,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),N,N,1221
HX348375,7/17/2014,ARSON,BY FIRE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1111
HX354693,7/17/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1024
HX348380,7/17/2014,THEFT,$500 AND UNDER,HOTEL/MOTEL,N,N,411
HX349091,7/17/2014,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY RESIDENCE HALL,N,N,112
HX348537,7/17/2014,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,GOVERNMENT BUILDING/PROPERTY,Y,N,1654
HX349421,7/17/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,1121
HX348438,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,733
HX349739,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),N,N,2221
HX349120,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,2011
HX379128,7/17/2014,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,VACANT LOT/LAND,Y,N,1221
HX348907,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1512
HX348384,7/17/2014,ASSAULT,SIMPLE,HOTEL/MOTEL,N,Y,2011
HX348386,7/17/2014,BATTERY,SIMPLE,RESIDENCE,Y,Y,523
HX348383,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,OTHER,N,N,1622
HX348947,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,N,N,314
HX353739,7/17/2014,THEFT,$500 AND UNDER,,N,N,1831
HX349937,7/17/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1723
HX353909,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1935
HX348465,7/17/2014,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,N,632
HX348588,7/17/2014,NARCOTICS,CRIMINAL DRUG CONSPIRACY,STREET,Y,N,1014
HX348487,7/17/2014,THEFT,$500 AND UNDER,STREET,N,Y,726
HX348421,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,733
HX349268,7/17/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,122
HX348424,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,823
HX349020,7/17/2014,THEFT,FROM BUILDING,OTHER,N,N,1232
HX349217,7/17/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1221
HX348445,7/17/2014,THEFT,OVER $500,STREET,N,N,323
HX348449,7/17/2014,THEFT,OVER $500,STREET,N,N,323
HX349867,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,932
HX348504,7/17/2014,ASSAULT,PRO EMP HANDS NO/MIN INJURY,POLICE FACILITY/VEH PARKING LOT,Y,N,921
HX348423,7/17/2014,BATTERY,SIMPLE,STREET,Y,N,1212
HX348439,7/17/2014,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,1811
HX348471,7/17/2014,NARCOTICS,MANU/DELIVER:COCAINE,RESIDENCE,Y,N,731
HX368070,7/17/2014,THEFT,OVER $500,HOSPITAL BUILDING/GROUNDS,N,N,1023
HX359697,7/17/2014,THEFT,OVER $500,STREET,N,N,1724
HX348437,7/17/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,2513
HX348462,7/17/2014,NARCOTICS,POSS: HEROIN(WHITE),VEHICLE NON-COMMERCIAL,Y,N,434
HX349745,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,1431
HX349575,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2523
HX348797,7/17/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1133
HX349482,7/17/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1932
HX348889,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1822
HX348778,7/17/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2522
HX348641,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,613
HX348451,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2522
HX348466,7/17/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,314
HX348651,7/17/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,ATM (AUTOMATIC TELLER MACHINE),N,N,735
HX349211,7/17/2014,THEFT,FROM BUILDING,HOSPITAL BUILDING/GROUNDS,N,N,1231
HX349329,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,GOVERNMENT BUILDING/PROPERTY,N,N,932
HX349114,7/17/2014,THEFT,FROM BUILDING,APARTMENT,N,N,2212
HX348443,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1012
HX348560,7/17/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,1122
HX349176,7/17/2014,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,N,222
HX349413,7/17/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,631
HX348464,7/17/2014,BATTERY,SIMPLE,SMALL RETAIL STORE,N,N,1021
HX348775,7/17/2014,THEFT,OVER $500,STREET,N,N,1124
HX348459,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1024
HX348468,7/17/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,N,Y,313
HX348984,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1031
HX348476,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2534
HX348495,7/17/2014,ASSAULT,SIMPLE,STREET,Y,Y,731
HX348502,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1132
HX348600,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1023
HX349289,7/17/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,2013
HX359502,7/17/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,513
HX348565,7/17/2014,BATTERY,SIMPLE,STREET,Y,N,1915
HX348723,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,2513
HX348829,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,512
HX383608,7/17/2014,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,2521
HX412507,7/17/2014,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,413
HX349903,7/17/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,N,N,1811
HX356756,7/17/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,234
HX349918,7/17/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,2222
HX349206,7/17/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1413
HX348646,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,222
HX348642,7/17/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,N,Y,234
HX348561,7/17/2014,DECEPTIVE PRACTICE,FORGERY,BANK,Y,N,632
HX348725,7/17/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,1014
HX348552,7/17/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1222
HX348518,7/17/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE,Y,N,833
HX348525,7/17/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,324
HX348568,7/17/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,511
HX348972,7/17/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1834
HX348519,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,413
HX348596,7/17/2014,ROBBERY,AGGRAVATED,CTA BUS STOP,N,N,925
HX353765,7/17/2014,THEFT,$500 AND UNDER,,N,N,1935
HX348522,7/17/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,N,N,915
HX349271,7/17/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,N,N,122
HX348523,7/17/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,412
HX348581,7/17/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1713
HX348550,7/17/2014,CRIMINAL TRESPASS,TO LAND,VACANT LOT/LAND,Y,N,713
HX348539,7/17/2014,THEFT,$500 AND UNDER,CTA TRAIN,N,N,1134
HX348719,7/17/2014,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,N,N,334
HX348540,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1511
HX351796,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,234
HX348543,7/17/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1034
HX348544,7/17/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,732
HX348585,7/17/2014,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE,N,N,923
HX348740,7/17/2014,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE,N,N,923
HX348587,7/17/2014,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",N,N,1931
HX377483,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1212
HX349946,7/17/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,423
HX480213,7/17/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,323
HX388960,7/17/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,N,N,2234
HX356693,7/17/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CHA APARTMENT,N,N,213
HX348864,7/17/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,712
HX348825,7/17/2014,THEFT,FROM BUILDING,VACANT LOT/LAND,N,N,1511
HX348794,7/17/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,112
HX348576,7/17/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1532
HX364572,7/17/2014,THEFT,OVER $500,APARTMENT,N,Y,221
HX350668,7/17/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,812
HX348570,7/17/2014,THEFT,PURSE-SNATCHING,SIDEWALK,N,N,2511
HX348589,7/17/2014,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,CTA STATION,Y,N,711
HX348686,7/17/2014,THEFT,OVER $500,APARTMENT,N,N,612
HX348605,7/17/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1634
HX348584,7/17/2014,BATTERY,SIMPLE,DRUG STORE,N,N,2411
HX348606,7/17/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,1821
HX348614,7/17/2014,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,Y,N,1413
HX348593,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,423
HX348615,7/17/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,312
HX348611,7/17/2014,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,Y,N,1214
HX348603,7/17/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,821
HX373506,7/17/2014,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,ATM (AUTOMATIC TELLER MACHINE),N,N,622
HX348580,7/17/2014,THEFT,$500 AND UNDER,OTHER,N,N,531
HX348574,7/17/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1651
HX349008,7/17/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,ANIMAL HOSPITAL,N,N,1214
HX348626,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,613
HX348608,7/17/2014,ASSAULT,SIMPLE,OTHER,Y,N,1935
HX349613,7/17/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,N,Y,434
HX348628,7/17/2014,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,Y,N,311
HX349483,7/17/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1413
HX348613,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1111
HX350267,7/17/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1834
HX348664,7/17/2014,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,Y,N,1533
HX348597,7/17/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,Y,N,1012
HX348709,7/17/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,523
HX348620,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,621
HX355190,7/17/2014,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,N,N,735
HX350465,7/17/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1135
HX348751,7/17/2014,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,N,N,714
HX349450,7/17/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,2424
HX349107,7/17/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,412
HX348959,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1232
HX348630,7/17/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,824
HX348950,7/17/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,1431
HX348867,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1532
HX348627,7/17/2014,THEFT,FROM BUILDING,RESTAURANT,N,N,1112
HX348622,7/17/2014,BATTERY,SIMPLE,SIDEWALK,N,N,732
HX348755,7/17/2014,ASSAULT,SIMPLE,STREET,N,N,1533
HX348777,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1931
HX348633,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1522
HX348649,7/17/2014,BATTERY,SIMPLE,RESIDENCE,N,N,1124
HX350182,7/17/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1412
HX348656,7/17/2014,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",N,N,1224
HX348658,7/17/2014,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1235
HX348650,7/17/2014,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,Y,N,2513
HX354178,7/17/2014,BATTERY,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,N,N,1632
HX348640,7/17/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE,Y,N,2532
HX348636,7/17/2014,PROSTITUTION,SOLICIT FOR PROSTITUTE,STREET,Y,N,2533
HX348732,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2222
HX348666,7/17/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,933
HX348647,7/17/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,112
HX348637,7/17/2014,THEFT,OVER $500,RESIDENCE,N,N,411
HX348895,7/17/2014,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,922
HX348663,7/17/2014,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",STREET,Y,N,813
HX348934,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),N,N,414
HX356777,7/17/2014,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,N,624
HX348685,7/17/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,Y,N,733
HX348763,7/17/2014,NARCOTICS,FOUND SUSPECT NARCOTICS,ALLEY,Y,N,333
HX348680,7/17/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,N,N,822
HX348674,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,1011
HX348938,7/17/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,N,Y,734
HX348672,7/17/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,2515
HX348669,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,321
HX348922,7/17/2014,THEFT,OVER $500,SIDEWALK,N,N,1133
HX348715,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,323
HX348728,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2534
HX365898,7/17/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,833
HX359629,7/17/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,222
HX387545,7/17/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1231
HY155644,7/17/2014,THEFT,FROM BUILDING,RESIDENCE-GARAGE,N,N,412
HX349941,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2515
HX348769,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1623
HX351352,7/17/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,122
HX350061,7/17/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,722
HX350927,7/17/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,923
HX349070,7/17/2014,THEFT,OVER $500,COLLEGE/UNIVERSITY GROUNDS,N,N,113
HX348872,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2534
HX349024,7/17/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1131
HX348720,7/17/2014,THEFT,OVER $500,SIDEWALK,N,N,222
HX369533,7/17/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,N,N,224
HX348923,7/17/2014,THEFT,FROM BUILDING,RESTAURANT,N,N,235
HX348792,7/17/2014,NARCOTICS,MANU/DELIVER:COCAINE,SIDEWALK,Y,N,713
HX348835,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2432
HX348737,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1522
HX353851,7/17/2014,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,N,N,1613
HX355320,7/17/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1711
HX355177,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,1013
HX348696,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,524
HX349136,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2232
HX348704,7/17/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,Y,N,1123
HX348748,7/17/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,111
HX348838,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,421
HX348700,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1133
HX348673,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,712
HX348727,7/17/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,COLLEGE/UNIVERSITY GROUNDS,Y,N,1913
HX348760,7/17/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),N,N,422
HX348743,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,424
HX348859,7/17/2014,THEFT,POCKET-PICKING,RESTAURANT,N,N,123
HX353832,7/17/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,2213
HX348893,7/17/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2533
HX348771,7/17/2014,BATTERY,SIMPLE,OTHER,Y,N,1913
HX348738,7/17/2014,NARCOTICS,POSS: AMPHETAMINES,OTHER,Y,N,1522
HX348746,7/17/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1523
HX349190,7/17/2014,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,N,N,2213
HX348722,7/17/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,2514
HX348756,7/17/2014,ASSAULT,SIMPLE,"SCHOOL, PRIVATE, GROUNDS",N,N,1022
HX348816,7/17/2014,THEFT,POCKET-PICKING,CTA TRAIN,N,N,914
HX348745,7/17/2014,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,Y,N,1533
HX349046,7/17/2014,PUBLIC PEACE VIOLATION,BOMB THREAT,"SCHOOL, PRIVATE, BUILDING",N,N,113
HX348781,7/17/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,423
HX348807,7/17/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,Y,N,931
HX348744,7/17/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,933
HX348821,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2534
HX362577,7/17/2014,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,835
